Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
3078,1998-01-07,Final Jeopardy!,ENGLISH LITERATURE,None,This 1726 satire reported the existence of Mars' 2 moons 151 years before Asaph Hall discovered them,Gulliver's Travels,"Melanie DeCarolis, Larry Blair, Michael Forrest","Massachusetts, California, Maryland"
5587,2008-12-16,Final Jeopardy!,NOVELS,None,"Amazon.com said this novel, set in Iowa, was ""the romantic classic of the 1990s""",The Bridges of Madison County,"George Yates, Jeannie Leoutsakos, Justin Waters","California, Maryland, Michigan"
2933,1997-05-07,Final Jeopardy!,ANCIENT PLAYWRIGHTS,None,This playwright born in Colonus around 496 B.C. wrote one of his finest plays when he was 90,"Sophocles (\""Oedipus at Colonus\"")","Anatoly Belkine, Per Gunnar Hillesoy, Gay Mollette","a scientific associate from Russia, an assistant dean of students from Norway, USA"
3313,1999-01-20,Final Jeopardy!,U.S. STAMPS,None,He's on the 1997 stamp honoring the European recovery program,George Marshall,"Debra Bricker, Will Salvini, Rich Hendricks","South Carolina, California, New York"
4847,2005-10-11,Final Jeopardy!,CLASSIC LITERATURE,None,"Chapter 1 of this book describes ""a cyclone cellar, where the family could go in case one of those… whirlwinds arose""",The Wizard of Oz,"Dylan Smith, Brady Newell, Madison Ball","New York, Maryland, Texas"
6285,2012-01-06,Final Jeopardy!,ANCIENT WEIGHTS & MEASURES,None,"The Hebrew word for this Biblical unit of measurement is Ammah, aptly meaning ""elbow"" or ""forearm""",a cubit,"Dan McShane, Molly Dahlberg, Dave Leach","New York, Louisiana, Georgia"
3039,1997-11-13,Final Jeopardy!,TOYS,None,"This Co.'s 4-letter name is from Danish meaning ""play well""; coincidentally, in Latin it means ""I put together""",Lego,"Enos Williams, Kristen Stuckey, Sahir Islam","Texas, Texas, New York"
5021,2006-06-12,Final Jeopardy!,U.S. NEWSPAPERS,None,"During the American Revolution, this New England newspaper had the USA's highest circulation; it's still in the top 50",the Hartford Courant,"Bill Weylock, Matt Wauben, Craig Westphal","Florida, South Carolina, Arizona"
5060,2006-09-15,Final Jeopardy!,U.S. STATES,None,"Of the 4 U.S. states that are officially called commonwealths, this one was not 1 of the original 13 Colonies",Kentucky,"Lou Bayard, Jennifer Czechowski, Meighan Larbi","Washington D.C., North Carolina, Florida"
5664,2009-04-02,Final Jeopardy!,TV CHARACTERS,None,"She was born on February 22, 10,000 B.C. weighing 6 pounds, 12 ounces",Pebbles Flintstone,"Brian Boone, Diane Wilshere, Daniel Stauss","Oregon, Virginia, Washington"
6126,2011-04-11,Final Jeopardy!,GEOGRAPHIC ADJECTIVES,None,"Of the nations with adjectives in their common names, only this Western Hemisphere one bears the name of a religious order",the Dominican Republic,"Tim Kresowik, Heather Timberlake, Christopher Short","Iowa, Florida, Indiana"
5339,2007-11-22,Final Jeopardy!,FAMOUS NAMES,None,"In the 19th century he created a new type of reference work, a dictionary named from the Greek word for ""treasury""",Roget,"Kate Swenson, Carol Camper, Bob Black","Minnesota, Canada, New York"
5670,2009-04-10,Final Jeopardy!,COMPOSERS,None,"In 1912, midway through one of his works, he wrote, ""I have penetrated the secret of the rhythm of spring""",Igor Stravinsky,"James Holst, Louisa Kreider, Priscilla Ball","Iowa, Ohio, Maryland"
4848,2005-10-12,Final Jeopardy!,SWEET TREATS,None,"Once known as fairy floss in the U.S., it's ""papa's beard"" in France & ""sugar wool"" in Germany",cotton candy,"Matt Tick, Jon Er, Charlotte Darby","California, New York, Pennsylvania"
3355,1999-03-19,Final Jeopardy!,SCIENTIFIC INVENTIONS,None,In 1608 its inventor offered it exclusively to the Dutch government for military use,telescope,"Linda Ferrazzara, Scott Tarapczynski, Jeff Grimes","Massachusetts, New York, Texas"
3900,2001-07-13,Final Jeopardy!,THE MOVIES,None,"This classic 1952 movie was based on the story ""The Tin Star""",High Noon,"Bill Hart, Mark Brennan, Alan Bailey","Louisiana, Connecticut, California"
5888,2010-03-31,Final Jeopardy!,INTO AFRICA,None,James Bruce taught himself Arabic & Amharic to prepare for his 1768 journey upriver in search of this spot,the source of the Nile,"Matt Drury, Pat Garahan, Stacy Braverman","New York, California, Washington D.C."
6247,2011-11-15,Final Jeopardy!,19th CENTURY POETRY,None,"He wrote, ""He looked upon the garish day With such a wistful eye; The man had killed the thing he loved, & so he had to die""",Oscar Wilde,"Buddy Wright, Tom Nissley, Roger Craig","Texas, Washington, Delaware"
4277,2003-03-18,Final Jeopardy!,PRESIDENTIAL ELECTIONS,None,"In the 20th C., one of the 2 men who've lost as both presidential & vice presidential nominee of a major party",Bob Dole or Walter Mondale,"John Franklin, Barbara Liu, Amanda Potocky","Florida, Connecticut, North Carolina"
2543,1995-09-27,Final Jeopardy!,U.S. CURRENCY,None,"On April 13, 1976 the reverse of this bill was changed from a presidential home to an event",the $2 bill,"Peg Hausman, Dotty Shekarian, Linda Roberts","Indiana, Maryland, Texas"
3822,2001-03-27,Final Jeopardy!,BUSINESS HISTORY,None,"By the time it was disbanded in 1858, this company controlled an area the size of Europe & home to 200 million people",The British East India Company,"Philip Hain, Brian McCullough, Diane Woodson","California, Florida, Maryland"
5266,2007-07-02,Final Jeopardy!,AFI's TOP MOVIE QUOTES,None,"Prizefighter Roger Donoghue was Marlon Brando's trainer for ""On the Waterfront"" & inspired this line on the AFI list","\""I coulda been a contender\""","Jessica Eyde, Wilson Rickerson, Cathy Lanctot","Texas, Virginia, Delaware"
4996,2006-05-08,Final Jeopardy!,SCIENCE,None,The symbol of this element first isolated in 1783 comes from its German name,tungsten,"Maria Wenglinsky, Kermin Fleming, Doug Dorst","New York, Kentucky, Texas"
6259,2011-12-01,Final Jeopardy!,HIT SONGS,None,"Inspired by a Meher Baba saying, this 1980s Grammy winner was the first a cappella recording to top the Billboard 100","\""Don't Worry, Be Happy\"" (by Bobby McFerrin)","Gillian DiPietro, Logan Schultz, Jan Zasowski","New York, Kentucky, Illinois"
6048,2010-12-22,Final Jeopardy!,U.S. HISTORY,None,"The day affer the 15th Amendment took effect, Thomas Peterson became the 1st Afr. American to do this under its provisions",vote,"Dennis Loo, Ester Murdukhayeva, Tom Nissley","Massachusetts, New York, Washington"
5333,2007-11-14,Final Jeopardy!,NEWSPAPER PEOPLE,None,In 1887 her assignment for the New York World was an expose of the insane asylum on Blackwell's Island,Nellie Bly,"Cliff Galiher, Paul Glaser, Craig Westphal","California, New York, Arizona"
4651,2004-11-22,Final Jeopardy!,20th CENTURY AMERICANS,None,"At the dedication of a fountain at Radcliffe College in 1960, she began her speech with the single word ""Water""",Helen Keller,"Ari Schoenholtz, Rachel McCool, Kermin Fleming","Maryland, Pennsylvania, Kentucky"
3266,1998-11-16,Final Jeopardy!,THESE UNITED STATES,None,"This body meets on the first Monday after the second Wednesday in December, but only once every 4 years",The Electoral College,"Creswell Formey, Dana Venator, Peter Morris","Connecticut, Illinois, England"
4517,2004-04-06,Final Jeopardy!,GEOGRAPHIC PHRASES,None,Mythological name sometimes given to Mount Acha & Gibraltar,the Pillars of Hercules,"Jonathan Turer, Joy Schauer, Chris Miller","New York, Pennsylvania, Kentucky"
4198,2002-11-27,Final Jeopardy!,U.S. PRESIDENTS,None,1 of the 3 U.S. Presidents to run on a third-party ticket after having already served as president,"(one of) Teddy Roosevelt, Martin Van Buren & Millard Fillmore","Katie Hobson, Brian Ursrey, Faith Love","New York, Georgia, Maryland"
6209,2011-09-22,Final Jeopardy!,PHILOSOPHY,None,"Nietzsche wrote, ""Once you said 'God' when you gazed upon distant seas; but now I have taught you to say"" this word",superman,"Brian Lehman, Anne Kenney Chaplin, Justin Sausville","Washington D.C., Massachusetts, Maryland"
5725,2009-06-26,Final Jeopardy!,19th CENTURY AMERICAN LITERATURE,None,"At the end of this novel, the title object ""ceased to be a stigma which attracted the world's scorn and bitterness""",The Scarlet Letter,"Bryan Porter, Tui Sutherland, Emily Heaney","Virginia, Massachusetts, Minnesota"
6150,2011-05-13,Final Jeopardy!,MONARCHS,None,"In March 2011 he gave his first televised speech in 22 years on the throne, saying he hoped things would get better",Emperor Akihito of Japan,"Charles Temple, Larry DeMoss, Lori Kissell","North Carolina, Indiana, Virginia"
2624,1996-01-18,Final Jeopardy!,MEDICAL FIRSTS,None,"The death of Denise Darvall in a traffic accident permitted this historic December 3, 1967 event",First Heart Transplant,"Jack Ronner, Sandy Shapiro, Bill Dickenson","California, Maryland, Texas"
3017,1997-10-14,Final Jeopardy!,AWARDS,None,The Maggie Awards given by the Planned Parenthood Federation of America are named for her,Margaret Sanger,"Jay Marx, Valerie Porter, Peter Scott","Colorado, New York, Washington D.C."
5264,2007-06-28,Final Jeopardy!,PRESIDENTIAL BOOKS,None,"His writings include ""The Naval War of 1812"" & as co-writer, ""The Deer Family""",Theodore Roosevelt,"Rosemary Travis, Amy Ryan, Cathy Lanctot","Florida, Ohio, Delaware"
5609,2009-01-15,Final Jeopardy!,WRITER/DIRECTORS,None,"His headstone, using a line from one of his scripts, says, ""I'm a writer but then nobody's perfect""",Billy Wilder,"Bill Menezes, Meagan Grote, Greg Jones","Colorado, Florida, Virginia"
5275,2007-07-13,Final Jeopardy!,SPORTS,None,"Among its 13 founding members in 1950 were Louise Suggs, Patty Berg & Babe Zaharias",the LPGA (Ladies' Professional Golf Association),"Ben Taylor, Amy Fuller, Zach Baker","Illinois, Oregon, California"
5067,2006-09-26,Final Jeopardy!,LITERARY CINEMA,None,"A silent film of this Russian tale was released in 2 versions: in one, Garbo commits suicide; in the other, Garbo lives",Anna Karenina (by Leo Tolstoy),"Brenda Buchanan, Brett Hart, Eric Barela","Ohio, Nebraska, California"
3849,2001-05-03,Final Jeopardy!,CANADIAN CITIES,None,"The name of this provincial capital means ""queen"" in Latin","Regina, Saskatchewan","Nicole Reimer, Colleen Mahoney, Tom Hartmann","Ohio, Connecticut, Texas"
3177,1998-05-26,Final Jeopardy!,SINGERS,None,"He first recorded in 1939, ""retired"" in 1971, returned & had a Top 10 album in 1993",Frank Sinatra,"Brian McMahon, Lara Robillard, Jim Riffle","New Jersey, Virginia, Nevada"
5650,2009-03-13,Final Jeopardy!,WORLD MONEY,None,"Amounts on the banknotes in this country, one of the world's 10 largest, are in 17 different official languages",India,"Dave Simpson, Lisa Klink, Ben Bishop","Maryland, California, Washington"
5278,2007-07-18,Final Jeopardy!,ORGANIZATIONS,None,"In 2003 Allied Command Europe & Allied Command Atlantic, parts of this organization, merged",NATO (the North Atlantic Treaty Organization),"Amy Varallo, Lindsey Nicolai, Kriti Gandhi","South Carolina, Virginia, Maryland"
277,1985-10-01,Final Jeopardy!,MOVIES,None,"Compass directions of the Wicked Witches killed in ""The Wizard of Oz""",west & east,"Bob Devlin, MaryLou Byrne, Chuck Forrest","Pennsylvania, California, Michigan"
3604,2000-04-13,Final Jeopardy!,INTERNATIONAL ORGANIZATIONS,None,"Winner of the 1999 Nobel Peace Prize, this group once used the slogan ""We Have Two Billion People in our Waiting Room""",Doctors Without Borders,"Dana Hernandez, Matt Thompson, Mike Blumenfeld","California, California, Minnesota"
5044,2006-07-13,Final Jeopardy!,U.S. HISTORY,None,"He was the commanding Union general at Bentonville, site of the last major Confederate offensive",William Tecumseh Sherman,"Rebecca Pinchoff, Eric Allen, Susan Matejko","New York, Alabama, Hawaii"
4754,2005-04-14,Final Jeopardy!,ANCIENT CITIES,None,"It sided with Sparta in the Peloponnesian War, & the Bible includes 2 letters to its Christians",Corinth,"India Cooper, Scott Gillispie, Steve Chernicoff","New York, Georgia, California"
5839,2010-01-21,Final Jeopardy!,COMIC STRIP CHARACTERS,None,"Created in 1950, he finally hit a home run on March 30, 1993",Charlie Brown,"Doug Savant, Elizabeth Perkins, Pat Sajak","an actor from , an actress from , a game show host from "
5896,2010-04-12,Final Jeopardy!,NEW SPORTS,None,"In 2008, Middlebury College in Vermont won its 2nd straight championship in this sport introduced in a 1997 novel",Quidditch,"Amanda Lahan, Debbie Russell, Morgan Saxby","Washington D.C., North Carolina, Virginia"
5867,2010-03-02,Final Jeopardy!,FOOD TRADITIONS,None,"Since the 1100s Dunmow, England has rewarded newlyweds who go a year & a day without arguing by letting them ""bring home"" this",the bacon,"Julia Brown, Jesse Achtenberg, Amy Tyszkiewicz","California, Washington D.C., New Jersey"
3365,1999-04-02,Final Jeopardy!,STATUES,None,Its face was modeled after the features of Auguste-Charlotte Bartholdi,Statue of Liberty,"Dan Inloes, Karen Baptiste, John Oleske","Michigan, Massachusetts, New York"
3777,2001-01-23,Final Jeopardy!,FAMOUS AMERICANS,None,"After his death in 1994 at age 81, Time magazine put him on its cover for a record 55th time",Richard M. Nixon,"Brad Schinstock, Rachael Cianfrani, Mike Emerman","Colorado, California, Massachusetts"
5199,2007-03-29,Final Jeopardy!,BIBLICAL TIMES,None,"Vipers & Whited Sepulchers were Jesus' terms for this group, whose name comes from a word for ""separatist""",Pharisees,"Steven Price, Arlynda Boyer, Samantha Ross","Pennsylvania, Virginia, New Jersey"
5220,2007-04-27,Final Jeopardy!,U.S. TRANSPORTATION,None,"Writing in the 1820s, Lafayette's secretary called it a ""great channel of communication, executed in eight years""",the Erie Canal,"Juli Hinds, Brian Marshall, Andrew Rostan","Vermont, New Jersey, Ohio"
3256,1998-11-02,Final Jeopardy!,BIBLICAL TIMES,None,"In Solomon's reign, she filled the new post of ""queen mother""",Bathsheba (wife of David),"Sinan Turnacioglu, Sharon Doodian, Katie Clark","New Jersey, New York, North Carolina"
4159,2002-10-03,Final Jeopardy!,CATCHPHRASES,None,"Maiden name of author Edith Wharton, whose social-climbing family may have inspired a catchphrase",Jones,"Mark Brown, Nancy Jasinski, Christine Schmidt","Arizona, Illinois, Florida"
5985,2010-09-24,Final Jeopardy!,PRESIDENTS,None,He served the shortest amount of time as president before running for & winning reelection to the job,LBJ,"Lyssette Flinchbaugh, Hillary Janikula, Kara Spak","Connecticut, California, Illinois"
3428,1999-06-30,Final Jeopardy!,PARADES,None,"The theme of Richard Nixon's second inaugural parade, he thought he'd be in office to celebrate it",the Bicentennial,"Steve Dranchak, Alex Meza, Thomas Citrano","Germany, California, North Carolina"
5785,2009-11-06,Final Jeopardy!,STATE CAPITALS,None,It's the only 3-word state capital,Salt Lake City,"Stephanie Radke, Gabe Orlet, Hema Karunakaram","Virginia, Illinois, Michigan"
3129,1998-03-19,Final Jeopardy!,BROADCASTING,None,"Founded in the early '50s, in 1995 it moved its headquarters from Munich to Prague",Radio Free Europe,"Jeff Chrzanowski, Kathy Currid, Christopher Ruth","New Jersey, New York, Connecticut"
5802,2009-12-01,Final Jeopardy!,POLITICAL PHILOSOPHY,None,"The subtitle of this influential 1762 treatise is ""Principes du droit politique"" (""Principles of Political Right"")",The Social Contract (by Jean-Jacques Rousseau),"Ryan Swaim, Shawna Brandle, Kimberly Jantz","South Carolina, New York, Oklahoma"
4368,2003-09-10,Final Jeopardy!,CHARLES LINDBERGH,None,"After landing in Paris in 1927 Lindbergh filed an exclusive report to newspapers in 2 cities, New York & this",St. Louis,"Diane Wing, Kierre Daniels, Sam Ott","Michigan, New York, California"
5752,2009-09-22,Final Jeopardy!,WORD HISTORY,None,"Once a type of Roman arena, in the 18th century this 6-letter word gained its current meaning as a type of entertainment",circus,"Marlene Allen, Jon Korn, Gary Bechtold","Georgia, Massachusetts, Minnesota"
3591,2000-03-27,Final Jeopardy!,FAMOUS WOMEN,None,This woman who made death masks of guillotine victims took the Bastille gate key after the 1789 storming,Marie Tussaud,"Mary Near, Kelly Brumbelow, Bryan Marcus","Ohio, Georgia, Alabama"
5381,2008-01-21,Final Jeopardy!,SHAKESPEAREAN GEOGRAPHY,None,"This land, named for an Italian, is mentioned just once in a Shakespeare play-- in ""The Comedy of Errors""",America,"Jean Doolittle, Rob Skolits, Christa Franklin Ishino","Minnesota, New Jersey, Michigan"
4817,2005-07-12,Final Jeopardy!,THE 50 STATES,None,"Rejected earlier in its bid for statehood, it finally entered the Union in 1876",Colorado,"Charles Martin, Kem Herding, David Madden","Washington D.C., North Carolina, New Jersey"
6019,2010-11-11,Final Jeopardy!,THE 1930s,None,"In April 1935 in Oklahoma, when blowing soil darkened the sky, a reporter coined this term for the region",the Dust Bowl,"Tim Relihan, Steph Gagelin, Marshall Flores","Nebraska, North Dakota, Arizona"
5999,2010-10-14,Final Jeopardy!,COUNTRY NAMES,None,"The only 2 countries in the world with an ""X"" in their names, one is found in Europe & one in the Americas",Luxembourg and Mexico,"Anjali Chelliah Sawe, Theo McLauchlin, Sara Wilkinson","New York, Quebec, Georgia"
5329,2007-11-08,Final Jeopardy!,THE PERSIAN GULF,None,"Its national anthem begins, ""O Lord, protect for us Our Majesty the Sultan""",Oman,"Steve Unite, Sara Terrell, Christian Haines","California, Connecticut, Virginia"
3650,2000-06-16,Final Jeopardy!,RECENT MOVIES,None,"This film was based in part on the 1974 autobiography ""The 16th Round""",The Hurricane,"John Edkins, Gregg Fanselau, Meg Smath","California, Colorado, Kentucky"
5376,2008-01-14,Final Jeopardy!,CLASSIC MOVIE DUOS,None,"Around the world they're known variously as ""Flip i Flap"", ""Dick und Doof"" & ""El Gordo y el Flaco""",Laurel & Hardy,"DJ Molny, Robin Olson, Angela Ruediger","Colorado, Pennsylvania, Pennsylvania"
4324,2003-05-22,Final Jeopardy!,ECONOMIC HISTORY,None,"Before the first income tax was levied, the U.S. government got 90% of its revenue in the form of these",tariffs,"Armando Batastini, Mikki Deschaine, Andy Hejl","Rhode Island, New Hampshire, California"
3425,1999-06-25,Final Jeopardy!,BANDS OF THE '70s,None,"In billing order, this quartet's members were born in Los Angeles, Dallas, Blackpool & Toronto","Crosby, Stills, Nash & Young","Dallas Dickinson, Norman Rogers, Terry Currin","California, California, Michigan"
4259,2003-02-20,Final Jeopardy!,TOP ATHLETES,None,"On ESPN's list of the 50 top athletes of the 20th century, this woman is the highest-ranked female",Babe Didrikson Zaharias,"Robin Gardner, Katie Stillgebauer, Travis Troyer","Virginia, Washington, Maryland"
1002,1989-01-03,Final Jeopardy!,LEADING LADIES,None,"The 2 blonde sex symbols who made their last films with Gable, 1 released in 1937, 1 in 1961",Jean Harlow & Marilyn Monroe,"John Lafferty, Annette Meyer, Cigus Vanni","England, Michigan, Pennsylvania"
4756,2005-04-18,Final Jeopardy!,INVENTED WORDS,None,"In works by Lewis Carroll, this word means ""four in the afternoon; the time when you begin broiling things for dinner""",brillig,"Michael Daunt, Bob Harris, Bruce Borchardt","Canada, California, Washington D.C."
4211,2002-12-16,Final Jeopardy!,FORTUNE 500 COMPANIES,None,"As its packaging reflects, this company began marketing its products from an Iowa cattle farm in 1985",Gateway,"Elizabeth Baxter, Matt Davidson, Kyle Pope","Oklahoma, Virginia, Maryland"
4688,2005-01-12,Final Jeopardy!,DATES IN AMERICAN HISTORY,None,On this date Philadelphia partied with fireworks & music from a Hessian band captured 6 months earlier,"July 4, 1777","Tim Russell, Leslie Burns-Dell'Acqua, Alex Rubington","Ohio, California, Massachusetts"
3859,2001-05-17,Final Jeopardy!,THE WORLD OF TRANSPORTATION,None,"The world's highest airport is found in this Asian political region of 472,000 square miles",Tibet,"Kevin Comer, Matt Fairley, Babu Srinivasan","Florida, Virginia, Texas"
3838,2001-04-18,Final Jeopardy!,WORLD RELIGION,None,"The world's largest religious structure, Angkor Wat in Cambodia, was built to honor this preserver deity",Vishnu,"Jesse Lamovsky, Jill Whitehead, Larry Cloud","Ohio, Louisiana, California"
2954,1997-06-05,Final Jeopardy!,AUTOBIOGRAPHIES,None,"In 1791, one year after his death, part of this American's autobiography was published in Paris as ""Memoires""",Benjamin Franklin,"Macee Damon, Rich Canedo, Wes Ulm","Massachusetts, Rhode Island, Virginia"
5113,2006-11-29,Final Jeopardy!,MODERN LANGUAGES,None,"An estimated 100,000-plus people speak this language whose nouns have no gender & end with -o",Esperanto,"Alexia Henke, David Maynard, Ryan Friedman","New York, Pennsylvania, New Hampshire"
4283,2003-03-26,Final Jeopardy!,2002 POP STARS,None,"In September 2002 she set a Billboard record with her first-ever single, jumping from its debut at No. 52 to No. 1",Kelly Clarkson,"Cory Bean, Robyn Rogers, Luis Cordon","North Carolina, Washington, Connecticut"
2876,1997-02-17,Final Jeopardy!,FAMOUS FAMILIES,None,Chicago's Fire Academy was built in 1960 on the site where this family once lived,The O'Learys,"Grace Veach, Steve McManus, Joyce Sturgill","Illinois, South Carolina, Florida"
2938,1997-05-14,Final Jeopardy!,THE ELEMENTS,None,More than 95% of all known compounds contain this element,Hydrogen/Carbon,"Eric Slack, Andrea Riquier, Steven Bevier","a freshman from Purdue University, a junior from Boston University, a senior from Michigan State University"
3229,1998-09-24,Final Jeopardy!,ACTRESSES & STATESMEN,None,During the '70s she worked where he works now & she was an ambassador to his country,Shirley Temple (Black) & Kofi Annan,"Faith Brown, Barry Berlin, Hans Krimm","Washington D.C., Georgia, Virginia"
4325,2003-05-23,Final Jeopardy!,FILM ROLES,None,"Dick Powell, Robert Mitchum & Elliott Gould have all played this character on film",Philip Marlowe,"Elayna Kotsaftis, Danny Jobe, Andy Hejl","Massachusetts, Virginia, California"
2672,1996-03-26,Final Jeopardy!,FOREIGN DIRECTORS,None,His fascination with clowns & make-believe may have begun when he ran off with Pierino's Circus as a child,Federico Fellini,"Betty Fernandez, Al Brokos, Marty Sade","Washington D.C., Maryland, Arizona"
5017,2006-06-06,Final Jeopardy!,OSCAR WINNERS,None,Dianne Wiest (1986 & 1994) is the only 2-time acting Oscar winner to win both working for the same director--him,Woody Allen,"Marcia Jensen, Stefanie Morales, Dan Sander","Illinois, New Jersey, Canada"
5315,2007-10-19,Final Jeopardy!,AMERICAN HISTORY,None,It was the main cause of the 1803 jump in the national debt to $86.4 million,the Louisiana Purchase,"Barbara Frascelli, Clare Willis, Shad Small","New York, Illinois, California"
6273,2011-12-21,Final Jeopardy!,THE NFL,None,This team that joined the NFL in the mid-1970s is the only one whose name starts with the same 3 letters as its city's name,the Seattle Seahawks,"Janemarie Cloutier, Drew Tompkins, Jason Keller","Pennsylvania, Alabama, New Jersey"
3609,2000-04-20,Final Jeopardy!,FAMOUS AMERICANS,None,"The first person selected to the Intl. Swimming Hall of Fame, his last starring film role was in 1955's ""Devil Goddess""",Johnny Weissmuller,"Joe Bellas, Darren Millam, Jason Karpf","Ohio, Missouri, California"
4858,2005-10-26,Final Jeopardy!,WOMEN IN POLITICS,None,"Elected in 1916, she was the subject of a 1995 biography called ""Bright Star in the Big Sky""",Jeannette Rankin,"Susan Klak, Jeff Pandin, Diane Mettam","Illinois, Virginia, California"
3666,2000-07-10,Final Jeopardy!,FAMOUS NAMES,None,"""The Line King"" is a film about this man whose work has been in the New York Times for the last 70 years",Al Hirschfeld,"Steve Wang, Deborah Van Ness, Doug Lach","California, New York, Ohio"
3084,1998-01-15,Final Jeopardy!,SHAKESPEARE,None,"Hamlet tells this man that Yorick was ""A fellow of infinite jest""",Horatio,"Helen Bracken, Bill Dougherty, Tom Barrett","Alabama, Illinois, Maryland"
4978,2006-04-12,Final Jeopardy!,U.S. TERRITORIES,None,5 of the 7 islands that make up this U.S. territory are of volcanic origin; the other 2 are coral atolls,American Samoa,"Tom Ricketts, Melissa Ahart, Kathy Lisiewicz","Massachusetts, New York, California"
4329,2003-05-29,Final Jeopardy!,PRESIDENTIAL ELECTIONS,None,The only 2 Democratic presidents defeated for reelection since the Civil War,Grover Cleveland & Jimmy Carter,"Joe Nathan, Katie Hamill, Bronson Messer","Ohio, Massachusetts, Tennessee"
5213,2007-04-18,Final Jeopardy!,A REAL RENAISSANCE MAN,None,The sudden 1559 death of France's King Henry II in a joust caused some to believe in this man's writings,Nostradamus,"Ann Cole, Daniel Pollack-Pelzner, Tricia McKinney","New Mexico, Massachusetts, New Jersey"
310,1985-11-15,Final Jeopardy!,LANDMARKS,None,Popular name for the Jefferson Nat'l Expansion Memorial,Gateway Arch,"Ron Black, Nathan Walpow, Michael Day","North Carolina, New York, Ohio"
4542,2004-05-11,Final Jeopardy!,METALS,None,"Element No. 79, it's estimated that all of it ever mined would only make a cube about 50 feet across",gold,"Kweisi Mfume, Maria Bartiromo, Anderson Cooper","a president from the NAACP, a business anchor from CNBC, a host from CNN's "
5911,2010-05-03,Final Jeopardy!,U.S.A.,None,Chocolate Avenue & Cocoa Avenue are 2 of the main thoroughfares in this town that was established in 1903,"Hershey, Pennsylvania","Harry Shearer, Jane Curtin, Pat Sajak","and voice from , an actress from , a game show host from "
5453,2008-04-30,Final Jeopardy!,BUSINESS,None,"In 1952 Glen Bell was selling burgers; he then added these to the drive-in menu for 19¢, & the rest is history",tacos,"Mike Milligan, Debbie Rothschild, Tom Morris","Maryland, New York, California"
5558,2008-11-05,Final Jeopardy!,POP MUSIC FIRSTS,None,"Covering the years 1971-1975, their first greatest hits album was the first ever certified platinum",The Eagles,"Karthik Balasubramanian, Shelly Mills, David Skaar","Pennsylvania, Washington, North Carolina"
4103,2002-06-05,Final Jeopardy!,EUROPE,None,"Among countries entirely within Europe, this nation has the highest percentage of Muslims",Albania,"Mary Beth Shetz, Amy Kobrzynski, Rich Hastings","Texas, Pennsylvania, Arkansas"
4257,2003-02-18,Final Jeopardy!,NUMERICAL PHRASES,None,"Number & type of musical instruments hanging from a Mason City, Iowa ceiling, a tribute to a native son",76 trombones,"Danielle Lepore, Travis Troyer, Jennifer Garman","California, Maryland, New York"
4357,2003-07-08,Final Jeopardy!,POP MUSIC,None,Take 2 letters off a Beatles song title & you get this title of Paul McCartney's 2002 live CD of his American tour,Back in the U.S.,"Heather Mock, Joe Warren, Ethan Lowry","Colorado, New York, Washington"
2840,1996-12-27,Final Jeopardy!,BENJAMIN FRANKLIN,None,Benjamin Franklin was born in this city in 1706,Boston,"Mark Torma, Ruth Thompson, Jon Woodman","Ohio, Georgia, Ohio"
2815,1996-11-22,Final Jeopardy!,TELEVISION HISTORY,None,"Set in the 1870s, it ran from 1955 to 1975",Gunsmoke,"Bob Scarpone, Barbara Walker, Michael Daunt","New Jersey, Maryland, Canada"
6262,2011-12-06,Final Jeopardy!,U.S. STRUCTURES,None,"On December 6, 1884 this was capped with a 100-oz., 9-inch-high pyramid-shaped block of aluminum, a metal that was rare at the time",the Washington Monument,"Julia Kozicki, Rich Beimer, Bhibha Das","Indiana, Tennessee, Illinois"
969,1988-11-17,Final Jeopardy!,GEOGRAPHY,None,"Now independent, this island has been ruled by Phoenicians, Romans, Arabs, Normans, French, and British",Malta,"Mark Lowenthal, Sandra Gore, Bruce Naegeli","Virginia, Massachusetts, Arizona"
4748,2005-04-06,Final Jeopardy!,FAMOUS PLACES,None,The appearance of this famous site gave England its old name of Albion,the White Cliffs of Dover,"Paul Gutowski, Mark Born, Dave Abbott","Illinois, Thailand, Kentucky"
3583,2000-03-15,Final Jeopardy!,ARTISTS,None,"As of Oct. 1999, of the 10 most expensive paintings sold at public auction, these 2 artists had 4 each on the list",Pablo Picasso & Vincent Van Gogh,"Mollie Fucilla, Steve Tanner, Robin Carroll","California, California, Georgia"
6292,2012-01-17,Final Jeopardy!,U.S. POPULATION,None,"Between 2000 & 2010 these 2 states that border each other led the nation in highest percentage of population increase, 35% & 25%",Arizona and Nevada,"Amy Stephenson, Daniel Hodge, Betsy Schroeder","New York, North Carolina, Virginia"
4256,2003-02-17,Final Jeopardy!,FILMS OF THE '70s,None,"This '71 film opens on the words ""To the police officers of San Francisco who gave their lives in the line of duty""",Dirty Harry,"Nathaniel Ellis, Jennifer Garman, Jackie Harrison","England, New York, Illinois"
6168,2011-06-08,Final Jeopardy!,THE MOVIES,None,Lt. Col. A.P. Clark played a key role in the elaborate breakout from Stalag Luft III that inspired this 1963 movie,The Great Escape,"Chris Hauck, Tim Kuehn, Sam Meyer","Rhode Island, California, Minnesota"
